dist,depth,avlon,avlat
79.9,13.0,80.8,29.7
80.0,13.0,80.8,29.7
80.1,12.9,80.8,29.7
80.2,12.8,80.8,29.7
80.3,12.7,80.8,29.7
80.4,12.6,80.8,29.7
80.5,12.6,80.8,29.7
80.6,12.6,80.8,29.7
80.7,12.6,80.8,29.7
80.8,12.6,80.8,29.7
80.9,12.6,80.8,29.7
81.0,12.6,80.8,29.7
81.1,12.6,80.8,29.7
81.2,12.7,80.8,29.7
81.3,12.7,80.8,29.7
81.4,12.7,80.8,29.7
81.5,12.7,80.8,29.7
81.6,12.7,80.8,29.7
81.7,12.7,80.8,29.7
81.8,12.7,80.8,29.7
81.9,12.7,80.8,29.7
82.0,12.8,80.8,29.7
82.1,12.8,80.8,29.7
82.2,12.8,80.8,29.7
82.3,12.8,80.8,29.7
82.4,12.8,80.8,29.7
82.5,12.8,80.8,29.7
82.6,12.8,80.8,29.7
82.7,12.8,80.8,29.7
82.8,12.8,80.8,29.7
82.9,12.8,80.8,29.7
83.0,12.8,80.8,29.7
83.1,12.9,80.8,29.7
83.2,12.9,80.8,29.7
83.3,12.9,80.8,29.7
83.4,13.0,80.8,29.7
83.5,13.0,80.8,29.7
