dist,depth,unc,AAID
72.80,16.60,7.98,778
72.90,16.61,8.00,779
73.00,16.63,8.01,780
73.10,16.66,8.01,781
73.20,16.68,8.01,782
73.30,16.71,8.01,783
73.40,16.74,8.01,784
73.50,16.77,8.01,785
73.60,16.80,8.01,786
73.70,16.83,8.02,787
73.80,16.85,8.02,788
73.90,16.88,8.02,789
74.00,16.91,8.02,790
74.10,16.90,8.06,791
74.20,16.89,8.10,792
74.30,16.89,8.15,793
74.40,16.88,8.19,794
74.50,16.87,8.23,795
74.60,16.86,8.28,796
74.70,16.85,8.32,797
74.80,16.84,8.36,798
74.90,16.83,8.41,799
75.00,16.82,8.45,800
75.10,16.85,8.44,801
75.20,16.88,8.43,802
75.30,16.90,8.42,803
75.40,16.93,8.41,804
75.50,16.95,8.40,805
75.60,16.98,8.39,806
75.70,17.01,8.38,807
75.80,17.03,8.37,808
75.90,17.06,8.36,809
76.00,17.08,8.35,810
76.10,17.10,8.41,811
76.20,17.12,8.48,812
76.30,17.14,8.55,813
76.40,17.15,8.62,814
76.50,17.17,8.68,815
76.60,17.19,8.75,816
76.70,17.20,8.82,817
76.80,17.22,8.89,818
76.90,17.24,8.95,819
77.00,17.25,9.02,820
77.10,17.31,9.05,821
77.20,17.37,9.09,822
77.30,17.43,9.12,823
77.40,17.49,9.15,824
77.50,17.55,9.19,825
77.60,17.61,9.22,826
77.70,17.68,9.25,827
77.80,17.74,9.29,828
77.90,17.80,9.32,829
78.00,17.86,9.35,830
78.10,17.89,9.39,831
78.20,17.92,9.42,832
78.30,17.95,9.45,833
78.40,17.98,9.48,834
78.50,18.01,9.52,835
78.60,18.04,9.55,836
78.70,18.07,9.58,837
78.80,18.10,9.62,838
78.90,18.13,9.65,839
79.00,18.16,9.68,840
79.10,18.24,9.78,841
79.20,18.32,9.87,842
79.30,18.40,9.96,843
79.40,18.48,10.06,844
79.50,18.56,10.15,845
79.60,18.64,10.25,846
79.70,18.71,10.34,847
79.80,18.79,10.44,848
79.90,18.87,10.53,849
