lon,lat,depth,mag,unc,date
-123.24,48.5,36.8,1.2,10.0,06/10/1987
-124.1,48.44,4.6,1.2,10.0,06/12/1987
-124.04,49.3,10.9,0.7,10.0,06/12/1987
-124.65,49.64,4.7,1.2,10.0,6/17/1987
-122.45,48.54,29.2,1.1,10.0,6/17/1987
-122.31,49.15,10.0,0.8,10.0,6/17/1987
-123.57,48.51,1.0,0.3,10.0,6/18/1987
-124.2,48.9,23.0,0.8,10.0,6/18/1987
-124.41,48.12,5.0,1.1,10.0,6/18/1987
-123.04,48.6,14.1,1.1,10.0,6/22/1987
-122.5,48.69,1.4,1.3,10.0,6/24/1987
-122.78,48.06,9.2,0.6,10.0,6/25/1987
-123.3,48.65,23.7,0.6,10.0,6/27/1987
-122.49,48.48,20.6,0.7,10.0,6/29/1987
-123.07,48.6,17.0,0.6,10.0,07/01/1987
-122.23,48.93,22.9,1.9,10.0,07/01/1987
-123.17,48.24,37.9,0.7,10.0,07/01/1987
-122.6,48.28,25.1,1.8,10.0,07/05/1987
-122.99,48.61,15.9,0.8,10.0,07/09/1987
-123.01,48.59,16.9,0.4,10.0,07/10/1987
-123.63,48.49,19.2,0.6,10.0,7/18/1987
-123.46,48.37,12.2,0.6,10.0,7/20/1987
-123.01,48.62,16.9,0.5,10.0,7/21/1987
-124.24,48.95,3.4,0.3,10.0,7/21/1987
-123.75,49.4,2.4,0.0,10.0,7/24/1987
-123.05,49.54,1.2,0.9,10.0,7/25/1987
-123.05,49.53,2.5,1.1,10.0,7/25/1987
-122.76,48.95,29.0,1.1,10.0,7/25/1987
-123.47,48.49,23.9,0.6,10.0,7/26/1987
-122.01,48.92,9.8,1.4,10.0,7/27/1987
-125.64,49.24,15.7,1.4,10.0,7/27/1987
-126.75,50.35,26.0,0.9,10.0,7/27/1987
-126.38,49.92,0.0,0.7,10.0,08/03/1987
-122.7,48.18,25.9,1.0,10.0,08/04/1987
-122.22,49.2,0.0,1.0,10.0,08/05/1987
-122.44,48.68,23.1,1.0,10.0,08/05/1987
-125.43,49.74,22.3,0.7,10.0,08/06/1987
-122.43,48.68,25.0,0.7,10.0,08/06/1987
-122.78,48.13,18.0,2.5,10.0,08/06/1987
-122.46,48.69,16.0,1.3,10.0,08/06/1987
-122.45,48.69,14.8,1.5,10.0,08/07/1987
-122.44,48.68,22.4,0.8,10.0,08/07/1987
-122.44,48.69,19.7,0.7,10.0,08/07/1987
-122.43,48.68,22.1,0.9,10.0,08/07/1987
-122.44,48.68,14.2,1.2,10.0,08/07/1987
-123.25,48.67,17.1,0.5,10.0,08/07/1987
-122.43,48.68,19.8,1.0,10.0,08/08/1987
-122.45,48.69,19.3,1.3,10.0,08/08/1987
-123.05,48.19,15.6,0.5,10.0,08/09/1987
-122.76,48.91,20.9,0.6,10.0,08/12/1987
-123.73,48.6,25.8,1.1,10.0,8/15/1987
-122.14,48.97,13.9,0.7,10.0,8/15/1987
-123.28,48.73,26.7,0.5,10.0,8/16/1987
-122.35,48.52,22.0,0.9,10.0,8/18/1987
-122.68,49.13,17.0,0.8,10.0,8/18/1987
-123.14,48.41,20.0,1.6,10.0,8/20/1987
-122.79,48.9,13.5,1.6,10.0,8/21/1987
-122.69,48.09,34.7,1.3,10.0,8/21/1987
-122.99,48.64,19.0,1.2,10.0,8/22/1987
-123.39,48.87,19.7,1.1,10.0,8/24/1987
-123.38,48.87,15.1,1.4,10.0,08/05/1987
-123.5,48.56,34.7,1.2,10.0,8/25/1987
-122.79,48.9,19.6,1.9,10.0,8/28/1987
-126.04,49.45,7.2,1.1,10.0,8/29/1987
-123.32,48.19,20.0,1.1,10.0,09/01/1987
-122.72,48.15,22.8,1.2,10.0,09/03/1987
-123.77,49.66,10.9,1.2,10.0,09/04/1987
-123.08,48.6,10.7,0.7,10.0,09/04/1987
-123.31,48.49,23.9,0.9,10.0,09/06/1987
-121.83,48.76,20.1,1.0,10.0,9/14/1987
