lon,lat,depth,mag,unc,date
-126.88,49.8,33.5,2.2,10.0,08/03/1989
-125.21,49.1,37.4,0.5,10.0,08/04/1989
-126.85,49.29,35.6,1.7,10.0,08/06/1989
-127.32,49.65,16.0,2.2,10.0,08/06/1989
-127.35,49.7,27.6,1.2,10.0,08/06/1989
-124.81,48.72,34.9,1.0,10.0,08/07/1989
-127.32,49.49,34.9,1.5,10.0,8/20/1989
-126.0,49.65,35.1,1.1,10.0,8/23/1989
-126.85,49.47,34.1,1.4,10.0,8/24/1989
-126.83,49.5,38.2,1.6,10.0,8/24/1989
-127.36,49.67,38.8,1.3,10.0,09/02/1989
-127.62,49.55,35.2,1.3,10.0,09/08/1989
-123.34,48.61,53.9,0.8,10.0,09/10/1989
-126.88,49.78,33.7,4.4,10.0,09/12/1989
-126.94,49.67,38.2,1.0,10.0,09/12/1989
-123.0,48.62,57.7,1.1,10.0,9/15/1989
-126.53,49.46,36.5,2.0,10.0,9/15/1989
-126.79,49.66,44.2,1.7,10.0,9/24/1989
-126.97,49.73,44.2,1.6,10.0,9/25/1989
-125.67,49.2,35.9,1.8,10.0,9/28/1989
-126.79,49.85,39.3,3.1,10.0,9/29/1989
-126.97,49.46,32.2,1.6,10.0,9/29/1989
-125.01,48.88,33.0,1.2,10.0,10/05/1989
-127.2,49.37,39.4,1.9,10.0,10/08/1989
-123.96,49.27,60.8,0.7,10.0,10/10/1989
-126.85,49.74,25.1,1.8,10.0,10/12/1989
-126.45,49.27,34.7,1.5,10.0,10/13/1989
-123.96,49.28,63.8,2.6,10.0,10/16/1989
-125.19,48.93,36.9,3.9,10.0,10/24/1989
-126.46,49.31,31.0,1.4,10.0,10/24/1989
-127.5,49.54,37.6,1.8,10.0,10/28/1989
-123.97,49.42,68.2,0.6,10.0,10/28/1989
-125.69,49.27,34.0,1.0,10.0,10/29/1989
-126.89,49.73,38.6,1.5,10.0,10/29/1989
-127.47,49.52,37.9,1.4,10.0,10/31/1989
-127.43,49.61,33.7,2.8,10.0,11/04/1989
-127.41,49.51,40.0,1.6,10.0,11/05/1989
-124.98,48.81,36.3,1.6,10.0,11/05/1989
-126.77,49.66,36.5,1.6,10.0,11/07/1989
-127.08,49.42,22.7,1.7,10.0,11/12/1989
-122.98,48.19,52.4,1.1,10.0,11/15/1989
-126.16,49.36,38.4,1.7,10.0,11/15/1989
-125.33,48.93,31.0,0.9,10.0,11/20/1989
-124.69,48.05,37.6,2.3,10.0,11/24/1989
-124.71,48.06,37.6,1.1,10.0,11/27/1989
-125.28,48.84,35.2,1.3,10.0,11/30/1989
-127.6,49.41,10.0,3.1,10.0,12/04/1989
-125.32,49.14,37.0,0.6,10.0,12/11/1989
-123.24,48.83,57.5,1.2,10.0,12/22/1989
-126.94,49.61,31.9,1.6,10.0,12/25/1989
-125.39,48.62,31.6,2.1,10.0,12/28/1989
-125.31,48.74,32.8,1.6,10.0,12/31/1989
-124.91,48.24,27.0,1.7,10.0,01/07/1990
-125.49,49.35,46.0,1.3,10.0,01/09/1990
-127.01,49.58,33.8,1.6,10.0,1/21/1990
-127.04,49.51,34.8,2.2,10.0,1/23/1990
-124.93,48.76,32.7,1.8,10.0,1/27/1990
-124.73,48.04,49.5,2.1,10.0,1/28/1990
