lat,lon,depth,unc,ID,etype,mag,time,Paz,Ppl,Taz,Tpl,S1,D1,R1,S2,D2,R2,mlon,mlat,mdep,id_no,src
18.205,-64.546,104.000,15.000,100090,EQ,3.300,2016-02-06 00:18:55.700,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16037000,42718
18.111,-67.739,64.000,15.000,100091,EQ,3.100,2016-02-07 00:33:26.100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16038000,42718
17.799,-68.496,147.000,15.000,100092,EQ,3.400,2016-02-09 05:48:31.200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16040005,42718
18.252,-68.416,119.000,15.000,100093,EQ,3.300,2016-02-11 05:27:11.400,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16042003,42718
18.058,-68.096,83.000,15.000,100094,EQ,3.300,2016-02-12 04:01:29.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16043001,42718
18.025,-65.392,18.000,15.000,100095,EQ,3.100,2016-02-20 00:37:27.100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16051000,42718
18.008,-64.892,15.000,15.000,100096,EQ,3.000,2016-02-21 00:28:19.900,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16052001,42718
18.143,-65.122,126.000,15.000,100097,EQ,3.500,2016-02-21 01:10:41.200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16052000,42718
18.105,-67.116,9.000,15.000,100098,EQ,3.900,2016-02-22 13:21:35.700,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16053001,42718
18.212,-67.636,47.000,15.000,100099,EQ,3.100,2016-02-25 12:17:34.800,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16056006,42718
17.965,-66.276,11.000,15.000,100100,EQ,3.200,2016-02-27 00:55:57.300,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16058000,42718
17.962,-66.284,7.000,15.000,100101,EQ,3.000,2016-02-27 01:35:26.200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16058004,42718
17.972,-68.725,101.000,15.000,100102,EQ,3.600,2016-02-28 03:36:15.400,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16059005,42718
18.273,-67.829,7.000,15.000,100103,EQ,3.000,2016-02-28 20:36:29.100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16059023,42718
18.103,-68.771,156.000,15.000,100104,EQ,3.800,2016-03-01 18:23:43.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16061009,42718
18.195,-67.887,123.000,15.000,100105,EQ,3.700,2016-03-03 07:06:12.700,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pr16063000,42718
