lon,lat,depth,ID,etype
291.207,18.398,111.6,14538.0,EQ
291.634,18.24,107.3,14539.0,EQ
291.656,18.622,81.2,14540.0,EQ
292.694,18.749,31.2,14542.0,EQ
292.76,18.129,23.8,14543.0,EQ
292.405,18.878,5.0,14544.0,EQ
293.279,18.581,32.1,14550.0,EQ
295.548,18.656,30.3,14560.0,EQ
293.207,17.984,23.8,14975.0,EQ
293.904,17.815,5.0,14976.0,EQ
293.66,17.96,9.0,14977.0,EQ
293.67,17.94,8.0,14978.0,EQ
293.67,17.96,8.0,14979.0,EQ
293.68,17.94,6.0,14980.0,EQ
293.87,17.888,7.6,14981.0,EQ
293.87,17.86,9.0,14982.0,EQ
293.64,17.97,6.0,14983.0,EQ
293.63,17.99,8.0,14984.0,EQ
293.926,17.926,1.0,14985.0,EQ
293.049,17.929,6.9,14986.0,EQ
293.035,17.954,14.2,14987.0,EQ
294.689,17.986,5.0,14990.0,EQ
294.46,17.92,2.0,14991.0,EQ
294.33,17.99,0.4,14992.0,EQ
294.32,17.96,5.0,14994.0,EQ
294.35,18.0,0.0,14995.0,EQ
289.533,18.486,68.5,15036.0,EQ
291.811,18.173,92.6,15041.0,EQ
291.89,18.14,125.0,15042.0,EQ
291.94,18.16,106.0,15043.0,EQ
291.86,18.41,84.0,15044.0,EQ
291.87,18.17,64.0,15046.0,EQ
292.0,18.36,88.0,15050.0,EQ
291.93,18.26,110.0,15051.0,EQ
291.93,18.24,104.0,15053.0,EQ
291.16,18.3,96.0,15058.0,EQ
291.65,18.23,96.0,15060.0,EQ
291.9,18.3,120.0,15061.0,EQ
291.28,18.68,45.0,15062.0,EQ
291.99,18.21,101.0,15065.0,EQ
292.423,18.151,60.0,15072.0,EQ
292.636,18.285,80.0,15073.0,EQ
292.688,18.687,30.8,15074.0,EQ
292.905,18.13,41.4,15075.0,EQ
292.941,18.223,30.8,15076.0,EQ
292.596,18.688,30.4,15077.0,EQ
292.447,18.563,5.0,15078.0,EQ
292.549,18.305,70.0,15080.0,EQ
292.83,18.2,13.0,15081.0,EQ
292.44,18.3,16.0,15082.0,EQ
292.68,18.17,9.0,15083.0,EQ
