lon,lat,depth,strike,dip
126.10000000000001,-2.0500000000000003,-13.246208,16.008408,25.047573
126.15,-2.0500000000000003,-15.7140255,17.436018,24.7002
126.2,-2.0500000000000003,-18.122314,18.785131,23.902271
126.25,-2.0500000000000003,-20.37634,20.385326,22.737078
126.3,-2.0500000000000003,-22.487328,21.830856,21.771666
126.35000000000001,-2.0500000000000003,-24.496132,22.921862,21.134752
126.4,-2.0500000000000003,-26.44361,23.592184,20.830858
126.45,-2.0500000000000003,-28.370615,23.813675,20.862768
126.5,-2.0500000000000003,-30.318005,23.604002,21.23228
126.55,-2.0500000000000003,-32.326633,23.023663,21.939651
126.60000000000001,-2.0500000000000003,-34.437355,22.163368,22.982018
126.65,-2.0500000000000003,-36.69103,21.527187,23.96774
126.7,-2.0500000000000003,-39.032604,21.895525,24.14218
126.75,-2.0500000000000003,-41.312176,22.809435,23.927563
126.8,-2.0500000000000003,-43.57754,23.342907,24.131233
126.85000000000001,-2.0500000000000003,-45.882595,23.421774,24.764442
126.9,-2.0500000000000003,-48.28122,23.053246,25.80901
126.95,-2.0500000000000003,-50.827297,22.290062,27.24187
127.0,-2.0500000000000003,-53.574722,21.21297,29.033873
127.05,-2.0500000000000003,-56.577374,19.91149,31.148283
127.10000000000001,-2.0500000000000003,-59.88914,18.47411,33.53374
127.15,-2.0500000000000003,-63.562084,17.134506,35.88089
127.2,-2.0500000000000003,-67.5704,16.058226,37.871704
127.25,-2.0500000000000003,-71.866455,15.183447,39.54022
127.3,-2.0500000000000003,-76.423225,14.439998,40.978603
127.35000000000001,-2.0500000000000003,-81.21367,13.810473,42.20923
127.4,-2.0500000000000003,-86.210754,13.283977,43.251236
127.45,-2.0500000000000003,-91.387436,12.854276,44.120827
127.5,-2.0500000000000003,-96.7167,12.518755,44.831406
127.55,-2.0500000000000003,-102.171486,12.277849,45.393932
127.60000000000001,-2.0500000000000003,-107.72477,12.092692,45.914192
127.65,-2.0500000000000003,-113.389175,11.806154,46.766716
127.7,-2.0500000000000003,-119.29393,11.4468775,47.83367
127.75,-2.0500000000000003,-125.414314,11.17898,48.71186
127.8,-2.0500000000000003,-131.70752,11.007171,49.378887
127.85,-2.0500000000000003,-138.13078,10.923176,49.85002
127.9,-2.0500000000000003,-144.64131,10.922974,50.1359
127.95,-2.0500000000000003,-151.1963,11.005545,50.243176
128.0,-2.0500000000000003,-157.753,11.173306,50.174557
128.05,-2.0500000000000003,-164.2686,11.431561,49.929012
128.1,-2.0500000000000003,-170.70032,11.714218,49.680832
128.15,-2.0500000000000003,-177.08969,11.946093,49.66362
128.2,-2.0500000000000003,-183.50275,12.176165,49.778793
128.25,-2.0500000000000003,-189.93338,12.451266,49.872143
128.3,-2.0500000000000003,-196.37546,12.754251,49.942398
128.35,-2.0500000000000003,-202.82292,13.068595,49.98808
128.4,-2.0500000000000003,-209.26965,13.377914,50.0073
128.45,-2.0500000000000003,-215.70955,13.666031,49.998093
128.5,-2.0500000000000003,-222.1365,13.916474,49.958176
128.55,-2.0500000000000003,-228.54443,14.107197,49.896465
128.6,-2.0500000000000003,-234.93272,14.171663,49.909653
128.65,-2.0500000000000003,-241.343,14.118769,49.99358
128.7,-2.0500000000000003,-247.7724,14.023857,50.031242
128.75,-2.0500000000000003,-254.20517,13.912035,49.997696
128.8,-2.0500000000000003,-260.62552,13.794932,49.894073
128.85,-2.0500000000000003,-267.01764,13.6837015,49.72097
128.9,-2.0500000000000003,-273.36575,13.590402,49.478474
128.95,-2.0500000000000003,-279.65408,13.527268,49.16589
129.0,-2.0500000000000003,-285.86682,13.507423,48.78211
129.05,-2.0500000000000003,-291.98822,13.526036,48.36639
129.1,-2.0500000000000003,-298.02094,13.530091,48.020145
129.15,-2.0500000000000003,-303.9952,13.492959,47.73703
129.2,-2.0500000000000003,-309.9111,13.450361,47.447952
129.25,-2.0500000000000003,-315.7676,13.406569,47.150707
129.3,-2.0500000000000003,-321.56372,13.365068,46.845585
129.35,-2.0500000000000003,-327.29846,13.3291445,46.53268
129.4,-2.0500000000000003,-332.9708,13.302812,46.21218
129.45,-2.0500000000000003,-338.5797,13.289916,45.88439
129.5,-2.0500000000000003,-344.1242,13.294081,45.549824
129.55,-2.0500000000000003,-349.6034,13.317046,45.214073
129.6,-2.0500000000000003,-355.0184,13.356977,44.88179
129.65,-2.0500000000000003,-360.37018,13.412406,44.550243
129.7,-2.0500000000000003,-365.65884,13.482201,44.217136
129.75,-2.0500000000000003,-370.88452,13.564184,43.882122
129.8,-2.0500000000000003,-376.0473,13.65621,43.54493
129.85,-2.0500000000000003,-381.1473,13.755856,43.20527
129.9,-2.0500000000000003,-386.18463,13.860878,42.862926
129.95,-2.0500000000000003,-391.15942,13.968128,42.517513
130.0,-2.0500000000000003,-396.07178,14.110524,42.098255
130.05,-2.0500000000000003,-400.89624,14.427795,41.36661
130.1,-2.0500000000000003,-405.54813,14.908187,40.483704
130.15,-2.0500000000000003,-410.06195,15.335883,39.826164
130.2,-2.0500000000000003,-414.48483,15.644057,39.440536
130.25,-2.0500000000000003,-418.86392,15.788258,39.331055
130.3,-2.0500000000000003,-423.24637,15.733111,39.495674
130.35,-2.0500000000000003,-427.67932,15.453629,39.926613
130.4,-2.0500000000000003,-432.2099,14.93931,40.611824
130.45,-2.0500000000000003,-436.88528,14.19214,41.535122
130.5,-2.0500000000000003,-441.7526,13.538634,42.021824
125.7,-2.0,9.710514,8.391651,30.342499
125.75,-2.0,6.4930725,7.557985,29.68246
125.8,-2.0,3.4317458,7.5085783,28.504011
125.85000000000001,-2.0,0.51036245,7.9876795,27.460896
125.9,-2.0,-2.2872484,8.924598,26.559927
125.95,-2.0,-4.9772577,10.216498,25.808073
126.0,-2.0,-7.5758367,11.729956,25.208971
126.05,-2.0,-10.099156,13.306698,24.759966
126.10000000000001,-2.0,-12.563387,14.773224,24.450607
126.15,-2.0,-14.984701,15.99661,24.204823
126.2,-2.0,-17.365122,17.271616,23.49643
126.25,-2.0,-19.597776,18.932833,22.362814
126.3,-2.0,-21.689486,20.558113,21.424126
126.35000000000001,-2.0,-23.680334,21.931055,20.825493
126.4,-2.0,-25.610407,22.96421,20.568916
126.45,-2.0,-27.519794,23.600044,20.65274
126.5,-2.0,-29.448582,23.822268,21.073105
126.55,-2.0,-31.436852,23.657146,21.824482
126.60000000000001,-2.0,-33.524693,23.16505,22.899067
126.65,-2.0,-35.752193,22.855904,23.901522
126.7,-2.0,-38.06265,23.595985,24.088955
126.75,-2.0,-40.304977,24.956152,23.907713
126.8,-2.0,-42.52876,25.90201,24.163807
126.85000000000001,-2.0,-44.789734,26.318708,24.859446
126.9,-2.0,-47.143635,26.188946,25.967714
126.95,-2.0,-49.6462,25.55523,27.45851
127.0,-2.0,-52.353157,24.49944,29.29833
127.05,-2.0,-55.320255,23.119965,31.448587
127.10000000000001,-2.0,-58.603218,21.519285,33.85829
127.15,-2.0,-62.255943,19.973886,36.22137
127.2,-2.0,-66.252914,18.69384,38.219685
127.25,-2.0,-70.544945,17.623459,39.88505
127.3,-2.0,-75.10342,16.68821,41.311035
127.35000000000001,-2.0,-79.899734,15.872756,42.522217
127.4,-2.0,-84.90528,15.168403,43.539303
127.45,-2.0,-90.09145,14.571285,44.379528
127.5,-2.0,-95.42964,14.0815115,45.05699
127.55,-2.0,-100.89123,13.7021055,45.58305
127.60000000000001,-2.0,-106.44761,13.392045,46.065575
127.65,-2.0,-112.111046,12.972385,46.888504
127.7,-2.0,-118.01468,12.460862,47.933952
127.75,-2.0,-124.133804,12.04429,48.79204
127.8,-2.0,-130.42517,11.730386,49.439316
127.85,-2.0,-136.84554,11.512235,49.890724
127.9,-2.0,-143.35164,11.386962,50.156662
127.95,-2.0,-149.90022,11.355301,50.243393
128.0,-2.0,-156.44803,11.421551,50.15344
128.05,-2.0,-162.95183,11.593722,49.885464
128.1,-2.0,-169.36833,11.810139,49.608776
128.15,-2.0,-175.73622,11.997752,49.556747
128.2,-2.0,-182.12042,12.198534,49.64174
128.25,-2.0,-188.51709,12.453645,49.715942
128.3,-2.0,-194.92242,12.742335,49.77748
128.35,-2.0,-201.33257,13.044752,49.824352
128.4,-2.0,-207.74368,13.341005,49.85445
128.45,-2.0,-214.15195,13.61128,49.865383
128.5,-2.0,-220.55354,13.836039,49.854504
128.55,-2.0,-226.94461,13.990036,49.830025
128.6,-2.0,-233.32661,14.008166,49.881863
128.65,-2.0,-239.74014,13.907156,49.997936
128.7,-2.0,-246.18051,13.764362,50.060307
128.75,-2.0,-252.6304,13.605726,50.0449
128.8,-2.0,-259.07242,13.443577,49.953274
128.85,-2.0,-265.48926,13.290111,49.78608
128.9,-2.0,-271.8635,13.158312,49.54327
128.95,-2.0,-278.1778,13.061442,49.22436
129.0,-2.0,-284.41486,13.014235,48.82777
129.05,-2.0,-290.55725,13.011951,48.39675
129.1,-2.0,-296.6081,12.999896,48.04395
129.15,-2.0,-302.6009,12.951714,47.76208
129.2,-2.0,-308.53552,12.903985,47.47406
129.25,-2.0,-314.41077,12.8601,47.177235
129.3,-2.0,-320.2253,12.821911,46.871487
129.35,-2.0,-325.9779,12.791586,46.556877
129.4,-2.0,-331.66727,12.771164,46.233303
129.45,-2.0,-337.2921,12.763172,45.900845
129.5,-2.0,-342.8512,12.769598,45.559685
129.55,-2.0,-348.34332,12.790467,45.21635
129.6,-2.0,-353.76984,12.820371,44.876442
129.65,-2.0,-359.1319,12.859329,44.5372
129.7,-2.0,-364.42975,12.90862,44.196293
129.75,-2.0,-369.6636,12.968283,43.853733
129.8,-2.0,-374.8337,13.038846,43.509586
129.85,-2.0,-379.94028,13.120401,43.163803
129.9,-2.0,-384.98352,13.21293,42.81655
129.95,-2.0,-389.9637,13.317146,42.467953
130.0,-2.0,-394.88107,13.467775,42.045967
130.05,-2.0,-399.70978,13.784111,41.304
130.1,-2.0,-404.3636,14.189206,40.396927
130.15,-2.0,-408.8775,14.491803,39.71197
130.2,-2.0,-413.2994,14.662218,39.302166
130.25,-2.0,-417.67725,14.69635,39.177654
130.3,-2.0,-422.05884,14.597843,39.3422
130.35,-2.0,-426.49213,14.378694,39.793022
130.4,-2.0,-431.02496,14.057349,40.52023
130.45,-2.0,-435.70523,13.657068,41.507664
130.5,-2.0,-440.58084,13.519712,42.067238
125.7,-1.9500000000000002,10.174323,7.5327473,30.697632
125.75,-1.9500000000000002,6.9040236,6.9455705,29.939104
125.8,-1.9500000000000002,3.8211882,7.001529,28.545403
125.85000000000001,-1.9500000000000002,0.90406704,7.4529595,27.312778
125.9,-1.9500000000000002,-1.869089,8.258047,26.253393
125.95,-1.9500000000000002,-4.5200295,9.346863,25.377989
126.0,-1.9500000000000002,-7.070503,10.621206,24.693905
126.05,-1.9500000000000002,-9.54226,11.958723,24.203287
126.10000000000001,-1.9500000000000002,-11.957048,13.221408,23.902115
126.15,-1.9500000000000002,-14.336618,14.312264,23.715229
126.2,-1.9500000000000002,-16.687134,15.569449,23.052464
126.25,-1.9500000000000002,-18.892107,17.316898,21.915794
126.3,-1.9500000000000002,-20.955267,19.132465,20.9729
126.35000000000001,-1.9500000000000002,-22.9165,20.785719,20.383928
126.4,-1.9500000000000002,-24.815693,22.164583,20.149666
126.45,-1.9500000000000002,-26.692732,23.180008,20.265415
126.5,-1.9500000000000002,-28.587503,23.782663,20.722935
126.55,-1.9500000000000002,-30.539892,23.969349,21.511816
126.60000000000001,-1.9500000000000002,-32.589787,23.77776,22.619743
126.65,-1.9500000000000002,-34.77707,23.733557,23.640484
